,raw,time,is_peak,diff,bpm
7859478,803.0,1120.0,,,
7859499,804.0,1141.0,,,
7859519,804.0,1161.0,,,
7859539,803.0,1181.0,,,
7859559,805.0,1201.0,,,
7859579,812.0,1221.0,,,
7859599,815.0,1241.0,,,
7859619,815.0,1261.0,,,
7859639,805.0,1281.0,,,
7859659,800.0,1301.0,,,
7859679,801.0,1321.0,,,
7859699,805.0,1341.0,,,
7859719,798.0,1361.0,,,
7859739,787.0,1381.0,,,
7859759,786.0,1401.0,,,
7859779,793.0,1421.0,,,
7859799,802.0,1441.0,,,
7859819,803.0,1461.0,,,
7859839,799.0,1481.0,,,
7859859,803.0,1501.0,,,
7859879,811.0,1521.0,,,
7859899,813.0,1541.0,,,
7859919,817.0,1561.0,,,
7859939,803.0,1581.0,,,
7859959,795.0,1601.0,,,
7859979,797.0,1621.0,,,
7859999,806.0,1641.0,,,
7860019,810.0,1661.0,,,
7860039,803.0,1681.0,,,
7860059,803.0,1701.0,,,
7860079,807.0,1721.0,,,
7860099,807.0,1741.0,,,
7860119,803.0,1761.0,,,
7860139,798.0,1781.0,,,
7860159,794.0,1801.0,,,
7860179,798.0,1821.0,,,
7860199,801.0,1841.0,,,
7860219,808.0,1861.0,,,
7860239,813.0,1881.0,,,
7860259,815.0,1901.0,,,
7860279,826.0,1921.0,1.0,,
7860299,823.0,1941.0,,,
7860319,808.0,1961.0,,,
7860339,798.0,1981.0,,,
7860359,793.0,2001.0,,,
7860379,802.0,2021.0,,,
7860399,800.0,2041.0,,,
7860419,796.0,2061.0,,,
7860439,794.0,2081.0,,,
7860459,799.0,2101.0,,,
7860479,807.0,2121.0,,,
7860499,804.0,2141.0,,,
7860519,806.0,2161.0,,,
7860539,809.0,2181.0,,,
7860559,811.0,2201.0,,,
7860579,813.0,2221.0,,,
7860599,802.0,2241.0,,,
7860619,799.0,2261.0,,,
7860639,807.0,2281.0,,,
7860659,805.0,2301.0,,,
7860680,808.0,2322.0,,,
7860700,812.0,2342.0,,,
7860720,808.0,2362.0,,,
7860740,796.0,2382.0,,,
7860760,799.0,2402.0,,,
7860780,801.0,2422.0,,,
7860800,788.0,2442.0,,,
7860820,784.0,2462.0,,,
7860840,786.0,2482.0,,,
7860860,792.0,2502.0,,,
7860880,805.0,2522.0,,,
7860900,804.0,2542.0,,,
7860920,812.0,2562.0,,,
7860940,822.0,2582.0,,,
7860960,815.0,2602.0,,,
